created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,anomaly_IQR,anomaly_IF
2025-09-25 16:40:06+00:00,3493090,33,5.2,0,0.1,0.0,0,0,0,False,False
2025-09-25 16:41:06+00:00,3493114,35,4.0,0,0.1,0.0,0,0,0,False,False
2025-09-25 16:42:06+00:00,3493138,42,5.3,0,0.1,0.0,0,0,0,False,False
2025-09-25 16:43:06+00:00,3493162,43,3.2,0,0.1,0.0,0,0,0,False,False
2025-09-25 16:44:06+00:00,3493187,46,2.2,0,0.1,0.0,0,0,0,False,False
2025-09-25 16:45:06+00:00,3493212,44,2.6,0,0.1,0.0,0,0,0,False,False
2025-09-25 16:46:06+00:00,3493237,46,4.5,0,0.1,0.0,0,0,0,False,False
2025-09-25 16:47:06+00:00,3493263,64,2.6,0,0.1,0.0,0,0,0,False,False
2025-09-25 16:48:06+00:00,3493288,70,1.8,0,0.1,0.0,0,0,0,False,False
2025-09-25 16:49:06+00:00,3493313,40,3.5,0,0.1,0.0,0,0,0,False,False
2025-09-25 16:50:06+00:00,3493338,55,4.4,0,0.1,0.0,0,0,0,False,False
2025-09-25 16:51:06+00:00,3493363,225,2.1,0,0.1,0.0,0,0,0,False,False
2025-09-25 16:52:06+00:00,3493388,32,4.8,0,0.1,0.0,0,0,0,False,False
2025-09-25 16:53:06+00:00,3493413,44,4.7,0,0.1,0.0,0,0,0,False,False
2025-09-25 16:54:06+00:00,3493438,41,4.3,0,0.1,0.0,0,0,0,False,False
2025-09-25 16:55:06+00:00,3493463,50,3.1,0,0.1,0.0,0,0,0,False,False
2025-09-25 16:56:06+00:00,3493488,46,2.9,0,0.1,0.0,0,0,0,False,False
2025-09-25 16:57:06+00:00,3493513,46,1.5,0,0.1,0.0,0,0,0,False,False
2025-09-25 16:58:06+00:00,3493538,46,2.1,0,0.1,0.0,0,0,0,False,False
2025-09-25 16:59:06+00:00,3493562,43,2.5,0,0.1,0.0,0,0,0,False,False
2025-09-25 17:00:06+00:00,3493586,52,2.3,0,0.1,0.0,0,0,0,False,False
2025-09-25 17:01:06+00:00,3493611,44,3.9,0,0.1,0.0,0,0,0,False,False
2025-09-25 17:02:06+00:00,3493636,46,3.0,0,0.1,0.0,0,0,0,False,False
2025-09-25 17:03:06+00:00,3493661,23,3.2,0,0.1,0.0,0,0,0,False,False
2025-09-25 17:04:06+00:00,3493686,25,4.6,0,0.1,0.0,0,0,0,False,False
2025-09-25 17:05:06+00:00,3493710,46,3.6,0,0.1,0.011,0,0,0,False,False
2025-09-25 17:06:06+00:00,3493734,46,3.1,0,0.1,0.0,0,0,0,False,False
2025-09-25 17:07:06+00:00,3493759,225,2.2,0,0.1,0.0,0,0,0,False,False
2025-09-25 17:08:06+00:00,3493783,25,2.4,0,0.1,0.0,0,0,0,False,False
2025-09-25 17:09:06+00:00,3493806,32,2.8,0,0.1,0.0,0,0,0,False,False
2025-09-25 17:10:06+00:00,3493831,33,4.0,0,0.1,0.0,0,0,0,False,False
2025-09-25 17:11:06+00:00,3493855,36,2.4,0,0.1,0.0,0,0,0,False,False
2025-09-25 17:12:06+00:00,3493880,42,3.5,0,0.1,0.0,0,0,0,False,False
2025-09-25 17:13:06+00:00,3493905,44,3.2,0,0.1,0.0,0,0,0,False,False
2025-09-25 17:14:06+00:00,3493929,327,3.6,0,0.1,0.0,0,0,0,False,False
